IP;Port;Country;Organization;Title;Version
###;631;Libya;#####;Odoo;15.0
###;51294;Libya;#####;Odoo;15.0
###;48020;Libya;#####;Odoo;15.0
###;30050;Libya;#####;Odoo;15.0
###;18078;Libya;#####;Odoo;15.0
###;12291;Libya;#####;Odoo;15.0
###;62080;Libya;#####;Odoo;15.0
###;3111;Libya;#####;Odoo;15.0
###;1982;Libya;#####;Odoo;15.0
###;9057;Libya;#####;Odoo;15.0
###;5568;Libya;#####;Odoo;15.0
###;2525;Libya;#####;Odoo;15.0
###;12459;Libya;#####;Odoo;15.0
###;4911;Libya;#####;Odoo;15.0
###;84;Libya;#####;Odoo;15.0
###;3542;Libya;#####;Odoo;15.0
###;20185;Libya;#####;Odoo;15.0
###;5900;Libya;#####;Odoo;15.0
###;12382;Libya;#####;Odoo;15.0
###;12546;Libya;#####;Odoo;15.0
###;9312;Libya;#####;Odoo;15.0
###;1935;Libya;#####;Odoo;15.0
###;16086;Libya;#####;Odoo;15.0
###;4155;Libya;#####;Odoo;15.0
###;50122;Libya;#####;Odoo;15.0
###;6331;Libya;#####;Odoo;15.0
###;12366;Libya;#####;Odoo;15.0
###;20050;Libya;#####;Odoo;15.0
###;12579;Libya;#####;Odoo;15.0
###;6100;Libya;#####;Odoo;15.0
###;8086;Libya;#####;Odoo;15.0
###;12354;Libya;#####;Odoo;15.0
###;7170;Libya;#####;Odoo;15.0
###;9016;Libya;#####;Odoo;15.0
###;9093;Libya;#####;Odoo;15.0
###;3407;Libya;#####;Odoo;15.0
###;51235;Libya;#####;Odoo;15.0
###;50085;Libya;#####;Odoo;15.0
###;8993;Libya;#####;Odoo;15.0
###;8107;Libya;#####;Odoo;15.0
###;7025;Libya;#####;Odoo;15.0
###;8549;Libya;#####;Odoo;15.0
###;9981;Libya;#####;Odoo;15.0
###;10033;Libya;#####;Odoo;15.0
###;3269;Libya;#####;Odoo;15.0
###;9515;Libya;#####;Odoo;15.0
###;8123;Libya;#####;Odoo;15.0
###;3551;Libya;#####;Odoo;15.0
###;3066;Libya;#####;Odoo;15.0
###;1471;Libya;#####;Odoo;15.0
###;66;Libya;#####;Odoo;15.0
###;44420;Libya;#####;Odoo;15.0
###;9061;Libya;#####;Odoo;15.0
###;3135;Libya;#####;Odoo;15.0
###;12284;Libya;#####;Odoo;15.0
###;62237;Libya;#####;Odoo;15.0
###;5100;Libya;#####;Odoo;15.0
###;503;Libya;#####;Odoo;15.0
###;8100;Libya;#####;Odoo;15.0
###;12316;Libya;#####;Odoo;15.0
###;12146;Libya;#####;Odoo;15.0
###;8155;Libya;#####;Odoo;15.0
###;591;Libya;#####;Odoo;15.0
###;3580;Libya;#####;Odoo;15.0
###;16011;Libya;#####;Odoo;15.0
###;4148;Libya;#####;Odoo;15.0
###;2107;Libya;#####;Odoo;15.0
###;6070;Libya;#####;Odoo;15.0
###;18045;Libya;#####;Odoo;15.0
###;30007;Libya;#####;Odoo;15.0
###;5908;Libya;#####;Odoo;15.0
###;44500;Libya;#####;Odoo;15.0
###;602;Libya;#####;Odoo;15.0
###;60001;Libya;#####;Odoo;15.0
###;12322;Libya;#####;Odoo;15.0
###;8520;Libya;#####;Odoo;15.0
###;8425;Libya;#####;Odoo;15.0
###;12539;Libya;#####;Odoo;15.0
###;1979;Libya;#####;Odoo;15.0
###;6004;Libya;#####;Odoo;15.0
###;4104;Libya;#####;Odoo;15.0
###;12343;Libya;#####;Odoo;15.0
###;9196;Libya;#####;Odoo;15.0
###;21081;Libya;#####;Odoo;15.0
###;18071;Libya;#####;Odoo;15.0
###;11434;Libya;#####;Odoo;15.0
###;7401;Libya;#####;Odoo;15.0
###;1119;Libya;#####;Odoo;15.0
###;8104;Libya;#####;Odoo;15.0
###;9063;Libya;#####;Odoo;15.0
###;9909;Libya;#####;Odoo;15.0
###;47534;Libya;#####;Odoo;15.0
###;7325;Libya;#####;Odoo;15.0
###;8075;Libya;#####;Odoo;15.0
###;5910;Libya;#####;Odoo;15.0
###;12373;Libya;#####;Odoo;15.0
###;6955;Libya;#####;Odoo;15.0
###;12537;Libya;#####;Odoo;15.0
###;6514;Libya;#####;Odoo;15.0
###;8782;Libya;#####;Odoo;15.0
###;12286;Libya;#####;Odoo;15.0
###;22082;Libya;#####;Odoo;15.0
###;5061;Libya;#####;Odoo;15.0
###;4437;Libya;#####;Odoo;15.0
###;18096;Libya;#####;Odoo;15.0
###;23182;Libya;#####;Odoo;15.0
###;3106;Libya;#####;Odoo;15.0
###;49682;Libya;#####;Odoo;15.0
###;55000;Libya;#####;Odoo;15.0
###;45777;Libya;#####;Odoo;15.0
###;27017;Libya;#####;Odoo;15.0
###;20018;Libya;#####;Odoo;15.0
###;11481;Libya;#####;Odoo;15.0
###;22403;Libya;#####;Odoo;15.0
###;12183;Libya;#####;Odoo;15.0
###;8069;South Africa;#####;Odoo;15.0
###;18103;South Africa;#####;Odoo;15.0
###;8815;South Africa;#####;Odoo;15.0
###;8815;South Africa;#####;Odoo;15.0
###;8069;South Africa;#####;Odoo;15.0
###;8015;South Africa;#####;Odoo;15.0
###;8069;South Africa;#####;Odoo;15.0
###;12223;South Africa;#####;Odoo;15.0
###;12223;South Africa;#####;Odoo;15.0
###;8069;South Africa;#####;Odoo;15.0
###;8070;Mali;#####;Awesome Odoo;15.0
###;8069;Mauritius;#####;Odoo;15.0
###;8069;Nigeria;#####;Odoo;15.0
###;8069;Nigeria;#####;Odoo;15.0
###;8069;Ethiopia;#####;Odoo;15.0
###;8020;Tanzania, United Republic of;#####;Odoo;15.0
###;8069;Kenya;#####;Odoo;15.0
###;8069;Kenya;#####;Odoo;15.0
###;8072;Kenya;#####;Odoo;15.0
###;8069;Kenya;#####;Odoo;15.0
###;8069;Rwanda;#####;Odoo;15.0
###;8069;Rwanda;#####;Odoo;15.0
###;8070;Burundi;#####;Odoo;15.0
###;80;Burundi;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;5256;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;10018;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;9000;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;8090;Egypt;#####;Odoo;15.0
###;8090;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;80;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;8015;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;8069;Egypt;#####;Odoo;15.0
###;8069;Tunisia;#####;Odoo;15.0
###;8069;Tunisia;#####;Odoo;15.0
###;8069;Tunisia;#####;Odoo;15.0
###;8069;Tunisia;#####;Odoo;15.0
###;8069;Tunisia;#####;Odoo;15.0
###;8069;Tunisia;#####;Odoo;15.0
###;8069;Tunisia;#####;Odoo;15.0
###;80;Tunisia;#####;Odoo;15.0
###;8068;Tunisia;#####;Odoo;15.0
###;8069;Tunisia;#####;Odoo;15.0
###;8070;Tunisia;#####;Odoo;15.0
###;8077;Tunisia;#####;Odoo;15.0
###;8069;Madagascar;#####;Odoo;15.0
###;8075;Madagascar;#####;Odoo;15.0
###;8069;Uganda;#####; Home | Odoo ERP ;15.0
###;8075;Morocco;#####;Odoo;15.0
###;8069;Morocco;#####;Odoo;15.0
###;8069;Morocco;#####;Odoo;15.0
###;80;Morocco;#####;Odoo;15.0
###;7777;Morocco;#####;Odoo;15.0
###;8887;Morocco;#####;Odoo;15.0
###;8069;Morocco;#####;Odoo;15.0
###;8015;Morocco;#####;Odoo;15.0
###;8069;Morocco;#####;Odoo;15.0
###;8069;Morocco;#####;Odoo;15.0
###;8069;Morocco;#####;Odoo;15.0
###;8091;Zimbabwe;#####;Odoo;15.0
###;666;Senegal;#####;Odoo;16.0
###;8069;Senegal;#####;Odoo;16.0
###;8445;Senegal;#####;Odoo;16.0
###;8069;Algeria;#####;Odoo;16.0
###;8066;Algeria;#####;Odoo;16.0
###;8069;Algeria;#####;Odoo;16.0
###;8069;Mauritania;#####;Odoo;16.0
###;8069;Mauritania;#####;Odoo;16.0
###;8069;Mauritania;#####;Odoo;16.0
###;8069;Libya;#####;Odoo;16.0
###;8069;Libya;#####;Odoo;16.0
###;8069;Libya;#####;Odoo;16.0
###;8069;Libya;#####;Odoo;16.0
###;8069;Libya;#####;Odoo;16.0
###;8072;Libya;#####;Odoo;16.0
###;8069;Libya;#####;Odoo;16.0
###;8072;Libya;#####;Odoo;16.0
###;8069;South Africa;#####;Odoo;16.0
###;8069;South Africa;#####;Odoo;16.0
###;8069;South Africa;#####;Odoo;16.0
###;80;South Africa;#####;Odoo;16.0
###;80;South Africa;#####;Odoo;16.0
###;8050;South Africa;#####;Odoo;16.0
###;80;South Africa;#####;Odoo;16.0
###;8816;South Africa;#####;Odoo;16.0
###;9052;South Africa;#####;Odoo;16.0
